DDIR_Number,Division,County,City,Route_Direction,Route_Type,Route_Number,Ramp_Int,Road_Discript,MP,MP_Start,MP_End,Lat,Long_,Lat_Start,Lat_end,Long_Start,Long_end,Event_Year,Failure_Event,Weather,Front_Back,Repair_Cost,Repairs,Repair_Type,InspectionDate,Failure_Discript,Severity,Failure_Type,Shallow_Deep,Addition_Comment,FHWA _Disaster_No
030-06-44-14,62 Union Springs,Macon,,NB,I,85,,,37.8,37.8,,32.470504,-85.699607,,,,,2015,December Rain,Rain,Front,82170,"Unclassified, Rip Rap for Rock Buttress, Erosion Control, Traffic Control and Reset Guardrail",P,3/15/2016,Slope Failure,Traffic Control,Translational,Shallow,,AL2016-1
030-06-44-15,62 Union Springs,Macon,,SB,I,85,,,40.2,40.2,,32.475308,-85.668154,,,,,2015,December Rain,Rain,Front,588500,"Unclassified, Rip Rao for Rock Buttress, Erosion Control, Traffic Control, Encase 6'' Sewage Force Main, Guardrail Reset",P,3/15/2016,Slope Failure,Traffic Control,"Translational, Erosion",Shallow,,AL2016-1
030-06-51-1,63 Montgomery,Montgomery,,NB,US,82,,,170.7,170.7,170.7,,,,,,,2015,December Rain,Rain,Front,75438,"Unclassified, Borrow, Traffic Control, Erosion Control, Rip Rap Channel, Guardrail Removal and Replace",P,1/22/2016,Front slope failure,Traffic Control,Rotational,Shallow,,AL2016-1
030-06-51-2,63 Montgomery,Montgomery,,SB,US,231,,,98,98,98,32.094225,-86.064463,,,,,2015,December Rain,Rain,Back,127875,"Unclassified, Borrow, Traffic Control, Erosion Control",P,1/22/2016,Back slope failure,Traffic Control,Translational,Shallow,,AL2016-1
030-06-51-3,63 Montgomery,Montgomery,,,I,65,,,165,164,164,32.263973,-86.356821,,,,,2015,December Rain,Rain,Front,116600,"Unclassified, Borrow, Traffic Control, Erosion Control",P,1/22/2016,Front slope failure,Traffic Control,Translational,Shallow,,AL2016-1
030-06-51-5,63 Montgomery,Montgomery,,,I,85,,,4.8,4.8,4.8,32.360544,-86.234526,,,,,2015,December Rain,Rain,Back,40700,"Unclassidied, Borrow, Traffic Control, Erosion Control",P,1/22/2016,Back slope failure,Traffic Control,Translational,Shallow,Bridge Adbutment,AL2016-1
030-06-51-6,63 Montgomery,Montgomery,,NB,I,85,,,16.1,16.1,16.1,32.368265,-86.054667,,,,,2015,December Rain,Rain,Front,124300,"Unclassidied, Borrow, Traffic Control, Erosion Control",P,1/22/2016,Front slope failure,Traffic Control,Translational,Shallow,,AL2016-1
030-06-51-8,63 Montgomery,Montgomery,,SB,I,85,Ramp,,16.1,16.1,16.1,32.368265,-86.054667,,,,,2015,December Rain,Rain,Front,116600,"Unclassidied, Borrow, Traffic Control, Erosion Control",P,1/22/2016,Front slope failure (off ramp),Traffic Control,Rotational,Shallow,,AL2016-1
030-06-51-9,63 Montgomery,Montgomery,,SB,US,331,,,75.6,75.6,75.6,31.990088,-86.292177,,,,,2015,December Rain,Rain,Front,874500,"Unclassidied, Borrow, Traffic Control, Erosion Control, Rock Buttress, Rip Rap Slope",P,1/22/2016,Front slope failure,Traffic Control,Rotational,Shallow,,AL2016-1
030-06-51-10,63 Montgomery,Montgomery,,,US,82,,SR 6 (US 82) MP 154,154,154,154,,,,,,,2015,December Rain,Rain,Front,98362,"Unclassidied, Borrow, Traffic Control, Gaurdrail Removal and Replace, Rip Rap Slope, Cleaning and Grubbing",P,1/22/2016,Flume wash out / Front slope repair,Traffic Control,Erosion,Shallow,Flume Washout,AL2016-1
